,word,1501-1550,1551-1600,1601-1650,1651-1700
110,majus,955,2374,1879,2898
253,fundo,1309,2706,1596,2486
5684,iungo,1304,3007,1719,2056
5689,praecipuus,938,2549,1720,2874
120,galli,1382,3432,1278,1977
596,praebeo,1302,2963,1555,2236
3775,sus,1302,3549,1064,2133
5742,uarietas,910,2512,1807,2815
5424,munus,1492,3023,1483,2041
2024,uiuus,896,3341,1524,2259
6569,prosum,1743,3973,1001,1296
935,cresco,1145,2455,1908,2502
5918,bos,1086,3699,749,2476
245,sano,1314,4790,940,960
3621,appono,1248,3084,1539,2129
1331,iubeo,1241,3241,1323,2184
1497,potestas,1115,3385,1753,1713
6199,perpetuus,855,2708,1557,2812
6380,nix,537,1621,1413,4347
3395,syluestris,2362,3928,695,925
6054,magnes,425,1583,4520,1376
3562,ra,1267,3228,1113,2290
158,naris,1604,3887,940,1463
1062,emitto,1289,3145,1329,2119
3547,suscipio,1362,3418,1337,1752
2818,liquor,968,2145,1484,3265
1693,scriptor,1565,1601,1428,3248
2377,uicis,1149,2458,1397,2837
1250,parens,1315,2336,1875,2313
605,libra,1333,2412,1531,2561
747,fortis,857,4371,1199,1397
4702,foemina,1224,3757,980,1855
91,uitrum,312,1825,2315,3325
6318,agnosco,674,2308,1444,3345
2739,gemma,885,1917,3206,1745
27,prouincia,659,1635,2860,2580
4291,mo,979,3243,1495,1979
2984,excedo,882,2809,1359,2639
3346,respectus,692,2705,1880,2404
3622,hyems,1286,3675,1220,1496
3737,panis,1319,3936,1139,1275
3012,subeo,1173,2889,1338,2267
5954,induco,1206,3152,1193,2096
4225,theophrastus,1836,3355,1113,1342
1097,remaneo,828,3917,1144,1745
2066,perficio,958,3388,1266,2005
5745,aestas,1177,3344,1458,1629
626,absum,1059,2112,1825,2577
832,uictus,1329,3680,1124,1417
2574,tracto,1344,3022,1222,1961
6571,aufero,1161,3060,1809,1517
3039,aegyptius,1704,2578,872,2376
2558,aluus,2200,3563,878,864
4748,exerceo,1033,2897,1257,2310
418,sonus,527,1864,1088,4011
1282,conditio,718,3267,1312,2188
4605,impedio,799,2622,1697,2357
2044,lunaris,717,1611,1585,3561
3150,attingo,1119,2528,1384,2438
4814,impetus,942,2111,1448,2961
6041,erigo,840,2510,1660,2443
5049,dispono,544,2437,1933,2538
556,desino,894,2918,1500,2132
749,nonus,1450,2791,1126,2070
3833,digitized,761,2039,2039,2593
1087,compositio,1192,3832,1137,1251
1763,granum,1065,3128,1417,1798
433,medica,674,2258,1982,2481
1600,albertus,733,4650,995,1006
2380,tractatus,611,1498,2720,2551
4424,formo,712,2626,1543,2496
3852,medicinus,1451,2758,1333,1834
5428,frater,1360,2484,1301,2220
5134,difficultas,713,2797,1584,2269
5759,caesar,1368,2065,1363,2558
1738,exterior,1183,2826,1423,1921
4517,index,1375,2384,1510,2080
2565,resoluo,904,3544,1106,1770
777,alexander,1697,2725,1290,1607
5186,dica,1159,2465,1137,2557
1447,ignoro,1336,2799,1375,1792
6188,templum,1486,2297,1652,1857
6016,hortus,927,2818,1571,1960
5490,penis,969,1696,2004,2607
3865,flamma,868,1933,1711,2754
3956,iustus,910,2793,1483,2073
5192,adduco,886,2790,1237,2322
2774,organum,757,3062,1434,1962
1373,melior,906,3326,1079,1898
4193,fortuna,1209,2484,1408,2099
1269,fibra,1131,2284,1133,2616
332,cinis,905,3406,1329,1518
5988,occasio,818,1687,1041,3605
2198,imperator,970,2138,1104,2937
2938,lito,1200,2033,976,2934
2128,definio,371,2976,1451,2340
1367,libellus,1493,2003,1840,1797
2458,uncia,1496,2297,1473,1827
6342,facilis,1098,2499,1628,1866
1509,fingo,1058,2128,1453,2447
5510,gallia,952,2123,1156,2846
6456,succedo,1049,2365,1255,2403
5090,moneo,864,1856,1731,2621
269,libus,1085,3227,1323,1432
2946,pinguis,1421,3394,1075,1173
5178,diuersitas,1578,2593,1198,1689
4677,tas,995,3449,858,1755
4834,uoluptas,1010,3235,1044,1759
3097,modo,1127,2932,1213,1759
1268,uocabulum,1674,2618,1323,1413
1916,iaceo,1615,1869,1880,1662
2802,arbitror,1693,2930,1077,1319
824,interpretor,1021,3967,519,1507
2096,laudo,982,2561,1069,2397
2659,lo,977,2495,1194,2334
3315,uirgo,1387,1803,1730,2070
4878,fateor,1091,1892,1253,2752
2448,utilitas,1326,2850,1126,1685
1362,titulus,1430,1153,1439,2958
5418,offero,1307,2115,1281,2267
6164,hostis,1017,2676,1391,1884
5588,uinco,1252,2516,1427,1737
5018,binus,721,2258,1960,1982
6129,definitio,264,3123,1973,1554
4946,medulla,1202,3196,1216,1298
2093,tunica,1491,3343,1226,848
4235,littus,1605,1448,1759,2083
6641,charta,2652,814,1507,1900
2000,pus,1202,3112,987,1571
4540,galus,496,5438,578,348
347,unio,470,2977,1504,1900
185,tumor,1076,3771,768,1231
2158,oblongus,698,3228,1554,1360
153,difficilis,993,3059,1190,1595
4492,uario,1003,2023,1665,2132
4064,digero,1078,3854,1053,829
3647,sanitas,823,3923,991,1074
2082,ros,809,2834,1407,1757
6603,diurnus,519,1596,1978,2697
3643,coniunctio,1608,2207,1174,1785
1296,eligo,724,3460,819,1766
470,honor,1189,1929,1618,2031
5368,ira,984,2651,1536,1594
6448,calefacio,912,3904,1052,895
4630,patria,1172,1560,1700,2328
6179,ingredior,1045,2485,1373,1818
4925,exigo,941,2186,1184,2405
6045,colloco,969,2382,1382,1981
3844,necessitas,805,2702,1246,1954
334,uulgaris,638,2339,1489,2241
3603,antecedo,630,2304,1963,1809
29,oceanus,893,1772,1606,2429
3619,tractus,1236,1859,1309,2290
763,eleuo,940,1884,1414,2441
891,reduco,838,2103,1194,2529
3273,habitus,951,3482,1021,1207
3277,mereo,722,1654,1422,2859
1862,rostrum,413,2534,909,2793
955,con,1517,3673,451,999
1304,mirabilis,586,2035,984,3025
3703,gloria,900,1986,1448,2284
3983,orientalis,586,1383,1925,2719
642,aeternus,579,2709,1577,1723
112,auicenna,1735,3272,893,687
4714,mortalis,1301,2078,1272,1935
1079,obscurus,805,2398,1320,2060
2192,aegyptus,1350,2022,997,2206
230,mentio,1351,2519,907,1798
876,augustus,656,1636,1436,2844
5396,prodo,1279,2365,1252,1659
1340,saxum,1152,2181,1385,1831
2193,ardeo,1031,2221,1616,1680
866,positio,1169,2554,1177,1639
2010,exorior,1072,2422,1200,1844
3550,ruber,834,2219,1739,1737
904,amplus,1013,2283,1509,1720
5297,opera,856,1866,1399,2395
5994,publicus,776,1445,1298,2997
6501,uersor,830,2437,1359,1890
996,committo,1444,2220,1040,1809
1523,australis,752,948,1735,3076
943,abeo,858,1970,1591,2090
6073,pendeo,923,2336,1271,1969
1881,comes,747,2358,1243,2128
4316,luteus,898,2376,1690,1510
5129,lector,994,1194,1609,2674
902,claudo,923,2234,1322,1987
5746,germani,982,3638,805,1002
1805,uiscus,735,2675,1220,1796
734,experior,770,2180,1295,2180
2494,uacuus,785,1969,1087,2572
3656,narro,627,1951,996,2824
805,fallo,1007,2268,1154,1966
1831,recedo,634,2015,1358,2384
5294,salus,978,2788,1061,1562
390,uenenum,1081,2355,1383,1569
3847,laedo,753,3334,1272,1023
362,extraho,805,3172,766,1636
3396,generalis,639,1624,1662,2453
3673,iecur,1202,3888,701,568
1407,franciscus,709,1366,1923,2360
78,calculus,592,1822,1507,2436
2196,discrimen,899,2477,1208,1773
1904,respicio,727,2351,1379,1891
3825,tueor,993,2733,1023,1598
5718,restituo,783,2199,1177,2188
3236,penetro,709,2295,1370,1963
600,cogito,691,2261,868,2502
6051,pax,766,1817,1083,2652
3231,memoro,850,1450,915,3101
5598,tempero,1020,3226,903,1164
5690,germania,1050,2281,1066,1907
575,angelus,488,2420,1140,2250
545,meatus,1128,3254,739,1173
1299,mathematicus,676,1691,1420,2494
2336,solaris,607,1128,2080,2457
4038,uehemens,705,3502,718,1346
5530,aeger,853,3093,1032,1293
195,indo,1104,2388,1145,1621
2671,inclino,811,1886,1577,1984
5823,prohibeo,915,3410,786,1135
5516,animaduerto,813,2408,1446,1569
2414,episcopus,1277,1563,1818,1573
4499,adiungo,728,2069,1447,1985
745,ambitus,900,2010,1477,1827
3122,fundus,535,1684,1225,2742
280,ineo,755,1934,1400,2093
193,sisto,1056,2473,954,1698
1844,india,942,1856,1646,1724
5136,uelocitas,725,1079,1417,2935
6307,sero,1543,2407,1014,1185
4848,siccitas,724,3875,758,791
3435,conseruo,589,2687,1154,1709
2149,inflammatio,1159,3922,511,544
2792,operor,646,2962,1218,1302
5260,canon,763,3504,877,977
3476,quis,1110,2324,993,1687
923,habito,1526,1976,1291,1317
5794,fugio,911,2396,1208,1582
1075,morsus,1050,3346,747,951
1572,gratus,957,1935,1290,1903
3276,uro,1130,2858,1030,1059
6005,inaequalis,717,2228,1505,1615
6142,caelestis,272,1456,1483,2854
6119,carmen,1600,1380,1482,1601
5696,gallicus,894,2058,1130,1973
1253,taurus,1513,2090,679,1772
3470,aquila,412,2338,516,2783
2547,praetereo,872,1873,960,2343
5545,cieo,1119,2578,1004,1344
221,spacium,1085,3062,1102,783
3927,tingo,757,2253,1194,1822
6480,flauus,554,2613,1549,1296
549,negotium,473,1276,1232,3020
4146,uterus,1089,2360,1020,1520
4741,extremitas,580,2000,1540,1868
1985,maius,812,2669,798,1708
2223,antonius,888,1217,1836,2041
2113,rationalis,871,3275,882,953
1032,spica,602,1392,646,3337
5114,cometes,103,679,777,4416
175,illustro,566,1074,1919,2414
6280,plaga,782,1275,2098,1809
5792,aries,1226,2099,716,1918
1353,praeditus,762,2265,1405,1520
4666,religio,1141,1897,1190,1721
1634,so,757,2492,949,1748
2869,impleo,897,2546,890,1611
2071,complector,942,1973,1323,1669
3212,uoluntas,716,3035,870,1286
4510,subicio,923,3454,910,619
5647,conor,838,2020,957,2087
6292,falsus,727,1962,1170,2037
853,la,857,2197,1014,1827
6034,desidero,734,2160,1017,1984
1909,as,508,3175,830,1381
5752,defectus,412,2027,1417,2026
1239,calx,838,2342,1087,1606
2561,geminus,1096,2029,1030,1707
994,portus,842,1084,2269,1666
6055,amarus,974,3086,747,1052
2084,uxor,914,2242,1031,1669
3732,grus,389,1173,605,3680
5928,unguis,1008,2174,1050,1614
5113,progredior,743,1725,1367,2011
4364,multiplex,780,2260,1317,1483
2772,praeceptum,685,2260,1399,1496
4486,dignitas,927,2002,1349,1551
1276,aestus,775,1338,1116,2600
4292,martius,366,1532,1128,2802
4278,malo,967,2130,896,1815
1419,lupus,628,3142,482,1544
2523,omitto,749,1889,1076,2078
3309,dissoluo,630,2850,885,1425
6452,praeparo,634,2823,1001,1326
572,reflecto,409,2227,1220,1925
5501,premo,929,1347,1134,2367
6238,idea,149,2593,930,2101
1031,iacobus,656,1291,2799,1025
3269,uermis,494,1746,1090,2439
4976,uus,949,2539,803,1469
1921,indigeo,722,3106,756,1172
3181,infundo,1240,2894,629,985
3318,pullus,582,2579,533,2049
1887,tego,764,1693,1496,1790
90,nuncupo,1371,2375,1182,812
4139,frequens,939,2305,1067,1428
5216,sanus,1125,2569,954,1091
2529,barbarus,1274,1466,2045,954
5862,coepio,975,1817,773,2170
3564,iuppiter,1297,1327,1357,1754
1412,uitalis,564,2673,1499,998
3738,inquiro,610,1535,1205,2383
5968,sapio,698,2080,1008,1930
568,finio,843,2571,963,1339
521,supersum,592,1596,1017,2511
5050,beneficium,804,1661,1327,1915
3620,termino,799,2248,1281,1379
1205,ambio,711,1999,1311,1678
2973,refrigero,823,3279,966,627
3874,sustineo,779,1838,1246,1821
5535,filum,750,1448,1134,2346
5060,columna,566,1653,1331,2126
3345,haereo,720,1627,1212,2115
398,miror,846,1537,1009,2280
5874,peculiaris,889,1874,1225,1683
1202,fundamentum,352,1799,1434,2079
1555,concurro,509,2570,1180,1396
4551,usurpo,510,2001,1016,2121
4591,designo,501,1560,1073,2513
5106,ceruix,1414,1957,1067,1207
1537,contendo,936,1977,862,1867
6348,balneum,726,2721,1151,1020
6296,processus,1481,1689,1667,772
2383,nux,1015,2433,995,1166
6506,inclinatio,485,1085,2019,2006
3333,commendo,793,2005,759,2029
4509,liquidus,1044,1860,1316,1366
5520,gustus,1123,3298,516,645
2702,robur,1087,2334,971,1190
180,quiesco,608,2006,1027,1936
583,disciplina,1203,2092,749,1533
944,sicco,1287,2900,816,571
2968,attraho,660,2770,930,1205
3202,iuuo,1280,3053,620,610
2566,illino,1708,3126,439,275
3330,aequus,1067,2120,910,1444
3399,constitutio,666,2101,1210,1557
84,auster,916,1167,1726,1724
4431,germanicus,875,1950,1172,1535
5970,imitor,1010,2123,895,1503
2539,tento,962,1840,1049,1668
133,uestigium,767,1740,1228,1780
5703,coniungo,790,2559,1108,1054
2519,perago,467,1542,875,2612
2706,pituita,1266,3301,668,260
2332,testimonium,935,2047,1131,1377
1979,arma,1078,1721,1230,1456
2161,nimius,663,2041,1026,1742
6171,summum,647,2200,898,1726
6566,aduerto,701,1668,1110,1987
1147,attineo,677,1601,1042,2145
5038,determino,269,1418,1451,2326
6231,mentum,666,2584,750,1454
3829,uitis,1709,1944,774,1018
2206,adiicio,1149,2157,840,1295
2187,matthaeus,327,1022,2850,1235
3859,monstro,982,1640,1111,1698
3959,num,254,810,930,3437
3339,dictum,733,1978,923,1793
119,passus,818,1383,1210,2006
4627,secus,762,2144,933,1569
1709,purpureus,996,2114,1381,913
5511,tempestas,737,1618,1067,1976
156,remotus,443,1589,1622,1719
4696,machina,382,1092,820,3076
3572,duplico,604,2019,1227,1518
3671,solutio,432,3033,929,973
5772,carolus,438,1400,1165,2340
5519,por,732,2425,640,1539
4875,subtraho,969,939,1273,2153
4065,confundo,689,1981,1074,1586
3795,residuus,840,1648,1118,1719
4742,subiicio,745,2021,766,1791
16,auxilium,948,2423,838,1100
1379,iulius,696,1728,1312,1568
5589,hispanus,726,1492,1833,1252
2153,spero,637,1643,831,2191
3340,uulgus,1056,2168,826,1239
1001,obliquus,1038,2279,1096,875
394,rosa,900,1979,1389,1017
6367,daemon,380,1954,552,2395
5165,septentrio,1277,1496,1382,1122
2103,comperio,895,2002,762,1606
4678,affectio,653,2877,833,902
2150,duro,756,1830,947,1727
2502,nolo,624,1742,937,1950
2466,nitor,771,1904,1058,1518
6584,idoneus,759,2179,856,1454
3883,directus,843,1771,1187,1440
5820,floreo,951,2028,897,1360
4874,continuo,510,1834,1146,1746
4789,seculum,503,1503,1124,2101
3307,suspendo,661,1504,1082,1978
5998,rapio,847,1740,1130,1501
4888,gra,1883,1952,753,627
2225,mediocris,864,2293,942,1111
89,regius,914,1490,1021,1779
6455,bus,895,1962,660,1678
1259,pln,1228,2728,833,406
3077,repraesento,612,1207,1372,2003
1186,perfectio,380,2525,1092,1195
5156,amnis,1613,1015,1863,695
1081,penna,360,1560,962,2303
2328,agito,766,1757,768,1889
59,ualidus,849,2250,996,1085
429,thomas,455,1225,1898,1597
991,abundo,758,2308,977,1131
2894,ma,760,1951,811,1645
373,aequinoctialis,1131,1981,1076,976
4453,redigo,695,1767,998,1699
5603,pareo,795,2335,894,1126
4103,repono,956,2126,759,1306
4443,moles,447,1413,925,2360
1925,temperamentum,872,2557,978,733
298,senex,784,2289,962,1103
992,miles,641,1920,1012,1560
5386,cano,994,1741,1071,1316
108,excessus,634,2116,1013,1357
4956,salsus,803,2447,1016,853
3448,uius,415,919,1244,2539
3899,celebro,730,1892,998,1497
3268,ferus,991,1974,814,1330
6281,discerno,742,2011,820,1532
5016,effundo,610,2289,936,1269
2852,repleo,606,1725,812,1957
790,decoquo,1309,2919,535,335
4877,uicina,608,1502,1351,1630
997,uicinus,576,1188,1281,2040
3999,acutus,654,2597,869,964
4671,coeo,958,2157,873,1095
4454,aegritudo,597,3843,283,358
5599,ictus,1069,2019,802,1190
4229,inscribo,965,1583,1221,1295
5390,hispania,718,1523,1152,1667
3806,genesis,255,3023,684,1091
4993,optimus,790,1921,850,1484
676,disputatio,467,1059,2415,1097
2733,pingo,783,1889,1229,1127
525,porta,675,1340,1404,1605
311,costa,1657,1705,956,691
2445,beo,1280,1637,622,1453
1410,scriptura,533,814,1306,2334
3379,adhaereo,468,1857,1121,1532
4436,dion,1052,1778,696,1445
460,ater,879,2467,791,825
4261,putredo,332,2897,1030,701
6197,declino,705,2173,828,1253
3027,arena,627,1458,1286,1587
1175,acquiro,277,1669,1229,1782
6282,murus,628,1866,972,1485
6500,corruptio,565,2771,824,791
4776,libero,926,1925,820,1267
6214,indicium,632,1929,936,1437
5366,mora,723,1428,1221,1561
3152,mortuus,659,1850,851,1572
2129,audeo,913,1533,962,1518
1794,igneus,509,1693,1097,1626
155,sa,762,2167,657,1335
5567,officina,1334,1756,967,859
5435,dissero,762,1691,918,1544
1939,humus,963,2130,991,823
3778,autus,520,2758,638,986
6166,statio,392,1216,2016,1274
2909,communico,287,1655,944,2004
4073,apo,397,2480,841,1163
4190,foueo,988,1792,953,1146
279,ora,1060,1190,1320,1299
1646,fama,833,1064,1184,1785
1172,montanus,688,1553,1422,1202
5375,ta,843,2140,600,1278
587,italus,493,2678,720,940
6564,crudus,895,2749,611,573
5523,cupio,810,1741,1054,1214
2133,assigno,595,1643,1007,1574
6530,cicero,1110,1109,732,1865
6006,quies,626,1872,954,1364
2021,distinctio,452,1795,822,1744
516,uesica,800,2546,684,782
5878,opinor,817,1864,730,1395
6361,caus,336,2628,741,1100
5989,rius,683,1819,733,1567
1541,uisibilis,159,2052,1496,1092
81,sudor,801,2092,850,1053
329,curro,500,1804,892,1589
2081,fistula,725,1856,525,1675
2867,uniuersus,705,1686,925,1460
3113,praemitto,421,1768,860,1722
3668,sylua,789,1809,880,1292
3420,desero,675,1566,1005,1522
3288,egredior,674,1868,1027,1196
4501,cauus,875,1931,1194,765
6432,exercitatio,284,2327,1033,1117
5983,campus,1022,1158,1045,1533
6264,propago,942,1340,1133,1343
4417,schola,506,776,2250,1217
966,triplex,593,1978,1074,1103
1042,ferreus,289,2065,1062,1330
5217,obeo,601,2088,673,1381
980,extinguo,649,1878,906,1305
820,homerus,1116,1769,1013,839
4053,diuus,1196,1570,1105,841
2876,congruo,485,1798,925,1501
1422,dirigo,446,1466,1445,1346
1544,pluuia,511,1262,1076,1851
4354,intueor,638,2014,831,1211
2543,persuadeo,584,1430,855,1821
1618,studiosus,1172,1523,834,1161
3407,curuus,268,805,843,2769
5675,priuo,637,1974,757,1314
5865,arabicus,580,1207,716,2176
6598,crassior,558,2075,927,1115
4556,dono,849,1508,1045,1252
5995,falsum,510,1766,1046,1330
339,sicilia,432,903,2189,1124
1871,africa,658,1588,909,1485
6015,impossibilis,479,1837,1086,1238
5352,industria,583,1074,913,2069
5526,uulgo,483,1789,1043,1324
4245,intendo,595,2134,731,1178
3440,pello,907,1775,763,1191
3770,classis,381,1123,987,2142
563,orno,736,1423,1065,1406
3856,propinquus,747,2230,945,707
4379,transuerto,748,1670,787,1420
934,coniunctum,544,2140,834,1106
4309,lectio,756,1527,905,1436
4921,artifex,567,1870,934,1253
5755,area,615,999,1200,1800
4536,henricus,304,1157,1083,2069
1405,subdo,975,1796,781,1053
2698,coniicio,443,1834,658,1670
1946,compleo,692,2096,664,1152
4975,subtilis,581,2271,642,1109
2948,aristot,159,3663,626,152
2770,tibia,1385,1692,827,696
3116,comprimo,592,1755,770,1482
2952,farina,1056,2533,468,531
4359,strabo,1458,1254,838,1038
3802,resto,496,1143,1034,1911
3638,lio,801,2022,568,1177
3172,amitto,667,1833,887,1177
4461,ctus,775,1919,625,1234
686,firmus,513,1875,919,1243
6580,accendo,504,1574,935,1518
3372,expello,587,2385,632,926
3553,gaudeo,719,1571,796,1443
242,littera,475,910,1082,2055
3888,decido,572,1332,937,1679
4713,terrenus,586,1642,800,1489
5407,aptus,665,1894,838,1115
4247,incrementum,527,1363,849,1772
2845,concauus,476,1805,953,1276
6221,felix,830,1158,1060,1456
3760,dego,431,1774,740,1558
4809,thus,1038,2321,610,531
4710,asper,837,2376,689,597
644,emendo,828,1494,730,1445
5927,noceo,802,2087,771,837
5449,ordino,450,1702,1061,1281
5300,pergo,516,1006,892,2079
2675,dissimilis,693,2061,820,917
2191,neo,737,1541,722,1487
6300,appeto,508,2510,751,717
2646,pretium,207,930,1253,2094
2711,septentrionalis,726,1462,1351,937
1160,latina,944,1769,831,918
1242,unda,1162,964,1304,1031
4851,corrigo,388,1075,978,2017
4555,unguentum,857,2599,390,610
1433,admoueo,643,1914,706,1183
3338,metallicus,690,1619,984,1147
5891,humerus,690,1010,669,2068
304,miraculum,525,1248,1077,1578
6159,lauo,986,1981,809,651
1480,uestis,905,1619,824,1076
2657,cera,841,2192,558,831
5356,expers,616,2043,690,1068
5846,detraho,889,1891,643,993
4897,pestis,613,1087,1138,1572
2311,uolumen,1333,1007,802,1267
4623,angustus,672,1871,999,866
4909,construo,406,1444,869,1683
6420,spargo,861,1609,946,985
2338,cesso,634,1487,871,1400
1421,apto,593,1587,1034,1173
4684,familia,362,1269,848,1902
5881,chorda,1046,790,640,1899
1114,monstrum,340,803,504,2727
4017,occidentalis,449,897,1456,1568
3135,reuoco,524,1576,832,1434
2857,infans,629,1692,741,1304
658,distribuo,673,1753,939,994
1090,inuestigo,453,1248,1013,1644
26,primarius,319,1101,1430,1506
6,familiaris,828,1548,725,1254
6499,medeor,1154,1910,557,728
1327,fabula,986,923,821,1617
5370,dimitto,498,2087,435,1324
5143,flatus,675,1897,878,893
406,exemplar,736,1874,652,1081
5243,filia,519,1574,630,1607
3004,pugno,759,1901,662,1008
5723,incertus,647,1193,845,1637
3169,cultus,819,1290,787,1423
2677,arx,572,1848,1084,808
5557,rumpo,988,1720,629,970
3155,absurdus,256,1684,1046,1313
6511,transmitto,553,1423,839,1483
802,copiosus,734,1927,639,991
427,effero,595,1709,682,1302
3013,tur,667,1906,781,930
1105,natio,1344,1140,811,989
5901,concoquo,626,2771,527,356
6599,corporeus,291,2244,658,1084
1525,supremus,343,1096,773,2063
1880,dilato,401,1854,729,1290
2427,tenebra,554,1468,977,1274
5866,hieronymus,994,869,892,1515
5180,inanis,757,1322,741,1443
1987,immitto,638,1563,732,1326
3260,flecto,914,1448,995,896
1833,postulo,449,1834,697,1268
2498,significatio,749,2179,493,823
74,asinus,504,1937,402,1396
4712,pilus,584,2071,649,931
1899,lien,811,2159,725,538
2280,consuetudo,739,1943,665,885
3884,aura,940,773,1109,1408
4542,uenero,755,1501,763,1207
2175,remitto,693,1934,580,1019
3731,georgius,678,658,1541,1347
2522,discutio,1107,1866,539,711
57,illustris,602,1004,1041,1573
1520,gallus,625,1670,478,1444
2138,gallina,359,2123,520,1214
4520,indicus,621,1385,971,1229
6255,arguo,625,1310,882,1382
4050,nitrum,833,1171,809,1383
6185,palma,731,1328,887,1249
6258,elicio,663,1328,831,1362
791,uo,603,1526,653,1402
3125,signo,659,1451,1062,1007
803,pecus,926,1749,596,908
3938,erumpo,857,1335,664,1321
3897,rubeo,761,1787,900,726
1630,discedo,660,1352,783,1378
6270,densus,554,1706,1061,850
4334,ignotus,721,1402,795,1252
6386,splendor,414,1449,953,1353
3175,asia,1066,1360,568,1173
761,draco,576,1359,588,1641
1139,haurio,674,1328,1036,1123
250,diffundo,721,1307,831,1302
3335,mando,756,1887,611,897
5212,inficio,718,1504,812,1109
4832,disputo,474,1534,927,1202
4820,metus,584,1315,681,1554
3723,intentio,280,3229,319,303
5533,comedo,414,2102,499,1114
1021,turbo,689,1275,840,1322
5500,rota,339,854,653,2259
2194,permitto,488,1485,659,1470
197,aether,438,910,878,1874
776,consumo,599,1789,658,1051
6312,impello,660,1275,608,1552
6529,canalis,318,1199,559,2016
2518,loco,821,1622,602,1047
5421,caeruleus,457,965,1604,1064
68,incumbo,651,1118,701,1611
1403,principalis,461,2320,686,609
1456,genu,677,1685,488,1225
462,praefero,611,1395,766,1302
2979,capillus,819,1975,592,680
2669,fel,563,2296,642,562
975,dependeo,401,1688,800,1170
5055,nudus,647,1327,964,1121
5444,reuertor,602,1488,756,1213
4610,proficiscor,723,1726,797,810
6330,drachma,1394,1949,353,356
2135,remoueo,369,1754,972,954
2324,dus,700,1598,472,1276
1231,domesticus,518,1856,573,1099
1847,inutilis,653,1578,679,1122
5680,exitus,530,1575,715,1212
3701,secerno,598,1679,624,1131
5648,attribuo,490,1874,627,1041
1746,corona,760,1260,709,1301
5883,uescor,583,1867,657,921
1792,adfero,619,1516,882,1004
1990,bonitas,393,2172,606,848
3149,maria,463,906,1051,1599
535,assequor,679,1410,790,1138
6471,coitus,719,2152,405,734
2505,peregrinus,419,1355,1265,955
342,reor,658,1346,639,1340
5971,numen,775,1040,997,1169
261,resisto,525,1438,750,1264
646,praefatio,1546,545,578,1295
2896,perspicuus,478,1877,773,835
296,opto,615,1242,742,1361
3147,po,708,1592,573,1086
1666,immensus,454,1205,738,1552
2007,ludouicus,254,848,844,1998
5245,permaneo,531,1946,727,737
5913,doleo,832,1648,560,894
3693,spiro,648,1416,718,1148
430,for,720,1525,625,1044
4690,incola,387,1291,1219,1015
1005,beatus,753,1235,717,1205
4428,defendo,583,1197,760,1370
5314,timeo,564,1627,581,1137
4519,ciuis,536,1509,843,1021
4002,emplastrum,639,2791,281,195
6404,pellis,489,1940,486,983
86,tropicus,755,1151,846,1142
4175,consulo,622,1277,706,1289
450,serenus,340,883,631,2037
1587,exercitus,506,1646,525,1212
2097,conspicuus,497,1032,969,1386
1506,pontifex,513,1147,682,1533
218,intereo,460,2003,626,785
1663,occulo,555,1330,800,1188
259,uer,976,1460,646,790
4444,contactus,370,1027,1165,1305
6368,pilum,523,1878,637,827
2404,astrologus,672,1776,590,825
5132,agricola,642,1171,1426,615
5195,exploro,368,1157,721,1606
5005,suspicio,375,1142,791,1543
4322,limes,531,985,1224,1109
3124,da,582,1638,662,964
1440,plumbum,672,1614,645,914
4422,urgeo,502,1136,660,1546
1594,uergo,712,1286,914,920
1364,hebraeus,162,1065,427,2177
4041,incedo,446,1194,956,1230
182,capra,453,1977,380,1012
1408,societas,390,1022,732,1677
5468,uitreus,259,1343,902,1317
5169,paries,384,1249,851,1333
443,emergo,492,997,829,1495
2597,celsus,965,1525,700,621
5322,uenetiis,666,599,1613,929
1725,intelligentia,386,1923,874,623
2410,ouis,357,1649,355,1442
4793,sedo,725,2078,411,582
3657,dormio,508,2031,525,731
3370,grandis,741,1284,679,1087
1389,geometria,313,1138,838,1498
4208,socius,678,1051,845,1212
527,ciuilis,630,963,884,1306
6107,priscus,866,1007,853,1053
4747,fatum,683,1204,728,1160
2211,alis,503,1302,659,1307
1179,fumus,410,1175,806,1373
6390,pietas,596,1171,824,1173
2106,artificium,354,1075,715,1618
2263,flo,576,1076,771,1335
3549,dam,740,1600,385,1031
3439,consuesco,647,1928,563,614
422,meta,494,1366,808,1081
6366,poena,602,1451,663,1033
5127,posterus,585,1162,679,1321
4329,quiuis,293,1249,730,1470
2208,iunctus,624,1052,934,1131
5569,damno,613,1318,653,1154
1046,ligo,565,1686,554,933
2944,inaequalitas,695,899,803,1336
775,turris,479,802,850,1593
4766,philippus,561,798,1168,1189
3348,fauces,837,1594,682,603
4521,circuitus,433,1546,663,1072
4570,somnium,489,1694,817,710
4912,possideo,528,1788,545,847
1015,obiicio,407,1007,896,1397
4725,aequalitas,380,1509,735,1077
4769,doctor,562,934,856,1345
1673,quadrupes,349,2041,388,919
103,magister,529,1277,599,1284
979,mathematica,345,1100,1048,1191
4784,sors,549,1315,805,1015
5203,mineralis,45,710,1049,1875
441,alligo,694,1290,671,1019
4007,musa,655,813,940,1256
2335,rusticus,815,1285,661,901
3526,los,610,2130,358,563
1679,ruo,706,1020,771,1162
1854,diligentia,664,1209,674,1111
4704,firmo,579,1257,685,1133
3885,na,649,1406,530,1069
437,immobilis,274,1569,877,933
2141,augustinus,874,748,914,1117
